model,f1,precision,recall,auc,best_params
LogisticRegression,0.8771929824561403,0.8620689655172413,0.8928571428571429,0.961038961038961,{'C': 0.01}
RandomForest,0.896551724137931,0.8666666666666667,0.9285714285714286,0.9567099567099567,"{'max_depth': 5, 'n_estimators': 200}"
KNN,0.8888888888888888,0.8,1.0,0.9231601731601731,"{'n_neighbors': 5, 'weights': 'uniform'}"
